top - 12:13:53 up  1:22,  1 user,  load average: 2.68, 2.14, 1.98
Tasks: 359 total,   4 running, 355 sleeping,   0 stopped,   0 zombie
%Cpu(s): 53.3 us, 20.0 sy,  0.0 ni, 25.9 id,  0.4 wa,  0.0 hi,  0.4 si,  0.0 st
MiB Mem :  15805.8 total,    587.7 free,   5025.8 used,  10192.3 buff/cache
MiB Swap:   2048.0 total,   1889.1 free,    158.9 used.   9768.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    710 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-crtc3
    837 root      20   0  248632   7888   6952 S   0.0   0.0   0:00.55 accounts-daemon
    842 root      20   0    2812   1128   1040 S   0.0   0.0   0:00.90 acpid
    864 avahi     20   0    7704   3912   3404 S   0.0   0.0   0:00.65 avahi-daemon
    870 root      20   0   10624   4912   4520 S   0.0   0.0   0:00.09 bluetoothd
    876 root      20   0   18148   2820   2568 S   0.0   0.0   0:00.00 cron
    880 message+  20   0   11040   6272   3560 S   0.0   0.0   0:04.44 dbus-daemon
    890 root      20   0  343592  18676  15336 S   0.0   0.1   0:06.31 NetworkManager
    912 root      20   0   82804   3684   3320 S   0.0   0.0   0:00.68 irqbalance
    916 root      20   0   49712  20700  11808 S   0.0   0.1   0:00.08 networkd-dispat
    920 root      20   0  252220  11412   7188 S   0.0   0.1   0:08.37 polkitd
    927 root      20   0  248740   7516   6804 S   0.0   0.0   0:00.06 power-profiles-
    930 syslog    20   0  222400   5548   3984 S   0.0   0.0   0:00.56 rsyslogd
    942 root      20   0 1687176  24396   9344 S   0.0   0.2   0:08.13 snapd
    951 root      20   0  245024   6688   6144 S   0.0   0.0   0:00.02 switcheroo-cont
    957 root      20   0   48252   7128   5872 S   0.0   0.0   0:00.72 systemd-logind
    961 root      20   0   14992   6064   5144 S   0.0   0.0   0:00.74 systemd-machine
    964 root      20   0  284708  10048   9184 S   0.0   0.1   0:00.50 thermald
    967 root      20   0  393460  11656   7924 S   0.0   0.1   0:01.59 udisksd
    969 root      20   0   18052  11236   8944 S   0.0   0.1   0:04.10 wpa_supplicant
    999 avahi     20   0    7440    340      0 S   0.0   0.0   0:00.00 avahi-daemon
   1050 root      20   0  317104  11604   9660 S   0.0   0.1   0:00.26 ModemManager
   1063 root      20   0   81652  13448  11324 S   0.0   0.1   0:00.02 cupsd
   1072 rabbitmq  20   0 3718460 123228  67632 S   0.0   0.8   0:24.63 beam.smp
   1158 root      20   0 1717840  36264  19472 S   0.0   0.2   0:12.30 libvirtd
   1161 root      20   0  126804  22852  14624 S   0.0   0.1   0:00.05 unattended-upgr
   1164 rabbitmq  20   0    2780   1456   1404 S   0.0   0.0   0:00.17 erl_child_setup
   1354 epmd      20   0    7268   3380   3020 S   0.0   0.0   0:00.07 epmd
   1355 rabbitmq  20   0    3736   1172   1076 S   0.0   0.0   0:00.00 inet_gethost
   1356 rabbitmq  20   0    3736    108      0 S   0.0   0.0   0:00.00 inet_gethost
   1359 root      20   0  251180   9020   7560 S   0.0   0.1   0:00.48 upowerd
   1425 root      20   0  173376  13708  11472 S   0.0   0.1   0:00.19 cups-browsed
   1439 kernoops  20   0   13080    460      0 S   0.0   0.0   0:00.00 kerneloops
   1441 kernoops  20   0   13080    456      0 S   0.0   0.0   0:00.00 kerneloops
   1444 root      20   0 1677840  11264   9728 S   0.0   0.1   0:07.02 teamviewerd
   1510 root      20   0  249876   9088   7892 S   0.0   0.1   0:00.05 gdm3
   1515 root      20   0  326556  10540   8912 S   0.0   0.1   0:00.08 gdm-session-wor
   1520 kaushal   20   0   18144   9072   6260 S   0.0   0.1   0:02.07 systemd
   1521 kaushal   20   0  170492   4324      0 S   0.0   0.0   0:00.00 (sd-pam)
   1527 kaushal   20   0   48504   6528   5308 S   0.0   0.0   0:00.29 pipewire
   1528 kaushal   20   0   32268   6324   5228 S   0.0   0.0   0:00.97 pipewire-media-
   1529 kaushal   20   0 2742320  26008  19932 S   0.0   0.2   0:03.50 pulseaudio
   1530 kaushal   20   0  308828  16236   8984 S   0.0   0.1   0:01.39 snapd-desktop-i
   1540 kaushal   20   0  249564   6396   5516 S   0.0   0.0   0:01.00 gnome-keyring-d
   1544 rtkit     21   1  154000   1484   1264 S   0.0   0.0   0:00.05 rtkit-daemon
   1551 kaushal   20   0  171036   6180   5692 S   0.0   0.0   0:00.00 gdm-wayland-ses
   1556 kaushal   20   0   10216   6048   3776 S   0.0   0.0   0:04.03 dbus-daemon
   1561 kaushal   20   0  231684  14536  12820 S   0.0   0.1   0:00.07 gnome-session-b
   1562 kaushal   20   0  249288   8332   7448 S   0.0   0.1   0:00.07 gvfsd
   1578 kaushal   20   0  380884   6212   5600 S   0.0   0.0   0:00.01 gvfsd-fuse
